Rank,Location,totalCases,Deaths,Recoveries,References,Population,Age,GDP,CaseScaled,DeathScaled,Parent
72,Honduras,"213,970","5,334","79,096",[109][110],"9,587,522",,,2,5.563481367,World
73,Qatar,"206,948",472,"192,551",[111],"2,795,484",,,7,1.688437494,World
74,Uruguay,"202,492","2,724","173,769",[112][113],"3,518,552",,,6,7.741821067,World
75,Venezuela,"198,865","2,155","180,301",[114],"28,887,118",,,1,0.746007269,World
76,Bosnia and Herzegovina,"198,461","8,551","159,223",[115],3332593,,,6,25.6586988,World
77,Oman,"196,900","2,053","178,052",[116],"4,829,473",,,4,4.250981422,World
78,Bahrain,"179,297",651,"167,852",[117],"1,569,446",,,11,4.147960491,World
79,Libya,"177,871","3,039","163,716",[118],"6,959,000",,,3,4.367006754,World
80,Nigeria,"165,167","2,063","155,361",[119],"206,630,269",,,0,0.099840164,World
81,Kenya,"160,422","2,763","108,861",[120],"47,564,296",,,0,0.580897907,World
82,North Macedonia,"152,685","4,936","133,473",[121],"2,077,132",,,7,23.76353549,World
83,Myanmar,"142,838","3,209","131,981",[122],"53,582,855",,,0,0.598885595,World
84,Albania,"131,238","2,397","110,920",[123][124],"2,845,955",,,5,8.422480327,World
85,South Korea,"123,728","1,834","113,356",[125][126],"51,709,098",,,0,0.354676463,World
86,Estonia,"122,943","1,172","112,480",[127][128],"1,330,068",,,9,8.811579558,World
87,Algeria,"122,522","3,270","85,398",[129],"44,700,000",,,0,0.731543624,World
88,Latvia,"119,953","2,154","109,480",[130][131],1907675,,,6,11.29123147,World
89,Puerto Rico,"117,225","2,315",No data,[132][133],"3,285,874",,,4,7.045309711,World
90,Norway,"113,469",756,"88,952",[136],"5,391,369",,,2,1.402241249,World
91,Sri Lanka,"111,753",696,"98,209",[137][138],"21,919,000",,,1,0.317532734,World
92,Cuba,"108,693",664,"102,339",[139][140],"11,193,470",,,1,0.593203001,World
93,Kosovo,"105,535","2,183","95,045",[141],"1,873,160",,,6,11.65410323,World
94,Montenegro,"97,389","1,495","93,527",[142],"621,873",,,16,24.04027832,World
95,Kyrgyzstan,"96,337","1,622","89,921",[143],"6,586,600",,,1,2.462575532,World
96,Ghana,"92,683",779,"90,324",[144],"31,072,940",,,0,0.250700449,World
97,Zambia,"91,693","1,253","90,082",[145],"17,351,708",,,1,0.722119114,World
98,Uzbekistan,"90,808",649,"87,067",[146],"34,588,900",,,0,0.187632449,World
99,China,"90,697","4,636","85,738",[147],"1,410,000,000",,,0,0.032879433,World
100,Finland,"87,345",915,"31,000",[150][151],"5,536,146",,,2,1.652774331,World
101,Thailand,"71,025",276,"40,984",[152][153],"66,558,935",,,0,0.04146701,World
102,Cameroon,"70,607","1,064","57,821",[154][155],"26,545,864",,,0,0.400815735,World
103,Mozambique,"69,984",815,"66,931",[156],"30,066,648",,,0,0.27106447,World
104,El Salvador,"69,465","2,134","65,015",[157],"6,420,746",,,1,3.323601339,World
105,Luxembourg,"67,397",793,"63,661",[158],"633,622",,,11,12.51534827,World
106,Cyprus,"66,430",314,No data,[159],"1,189,265",,,6,2.640286227,World
107,Singapore,"61,218",31,"60,786",[160],"5,703,600",,,1,0.054351638,World
108,Afghanistan,"60,300","2,642","53,391",[161],"32,225,560",,,0,0.81984611,World
109,Namibia,"48,654",643,"46,238",[162],"2,550,226",,,2,2.521345167,World
110,Ivory Coast,"46,150",287,"45,644",[163][164],"26,378,274",,,0,0.10880166,World
111,Jamaica,"45,867",784,"21,293",[165][166],"2,726,667",,,2,2.875305272,World
112,Botswana,"43,994",702,"41,844",[168],"2,254,068",,,2,3.11436922,World
113,Uganda,"41,973",342,"41,598",[169][170],"42,729,036",,,0,0.08003925,World
114,Senegal,"40,433","1,110","39,158",[171],"15,854,323",,,0,0.700124502,World
115,Mongolia,"39,381",119,"22,932",[172],"3,353,470",,,1,0.354856313,World
116,Zimbabwe,"38,281","1,570","35,634",[173],"14,215,809",,,0,1.104404259,World
117,Madagascar,"37,296",654,"28,868",[174][175],"26,262,313",,,0,0.249026047,World
118,Malawi,"34,096","1,148","32,069",[176],"19,129,952",,,0,0.600106054,World
119,Donetsk PR,"33,570","2,541","26,664",[177],"2,302,444",,,1,11.03609903,World
120,Sudan,"33,104","2,349","26,795",[178][179],"44,909,353",,,0,0.523053628,World
121,Malta,"30,354",416,"29,658",[180],"514,564",,,6,8.084514268,World
122,Maldives,"30,237",74,"24,927",[181],"557,426",,,5,1.32753047,World
123,DR Congo,"30,005",768,"26,250",[182][183],"105,044,646",,,0,0.07311177,World
124,Australia,"29,841",910,No data,[184],"25,797,900",,,0,0.35274189,World
125,Angola,"26,993",602,"23,913",[185],"31,127,674",,,0,0.19339704,World
126,Rwanda,"25,253",337,"23,44",[186][187],"12,374,397",,,0,0.272336503,World
